text,label,label_id
"I just think that the feminist movement glorifies obesity. It should focus on being healthy, because what it's doing now is just as bad as the mainstream media!",implicit_hate,1
: i just heard white christmas playing and realized the liberals and #blm must hate it since it contains their,not_hate,0
can i be black now you guys ?,not_hate,0
hate crime charge dropped for 4 black teens who kidnapped and tortured a white teenager .,not_hate,0
the alt right is not anti christianity but rather anti christian cuck . it values family  tradition  and volk not vagueness of family values,implicit_hate,1
" how's your buddy jason kessler the cnn occupy wall street reporter ? oops i mean  "" alt right thought lead """,not_hate,0
can i join ur clan,not_hate,0
most white people also hate nazis but wow here you are,not_hate,0
the black guy is trying to tell the other guy what his iq is . #drainthesewer,implicit_hate,1
"nothing acceptable about it! if i ever catch someone sexually abusing a child, i'll have no problem siting in jail for putting a hot round in the back of their skull!",implicit_hate,1
" rt the life of the prophet is valid as a law for every muslim  how many thousands of innocents did he slaughtered during his  "" holy "" "" life ? """,implicit_hate,1
. is she a christian ? or jew ?,not_hate,0
" rt 2 / ... jared taylor  american renaissance  among other things  to my attention . ... i am mailing in a donation . keep up the good work .  "" """,not_hate,0
it was a tragic #war - #hitler #germany #jews #history,not_hate,0
dnc chair candidate wants to ' shut other white people down ' via,not_hate,0
collective exhale after high court announcement #neilgorsuch,not_hate,0
"cut their federal funding, food stamps, and all other subsidies if they don't want to abide in the laws",implicit_hate,1
are you arguing against racial separation ? or just against incomplete separation ?,not_hate,0
adolf hitler : jews can never rule the world unless they bastardize the white european races,implicit_hate,1
isn't he a white man ?,not_hate,0
" rt  "" there is one core issue in the immigration debate : the well-being of the american people . nothing even comes a close second . "" "" """,not_hate,0
admiral ramdas write 2 leela ramdas #aaptards daughter kavita  head of ford foundation in india,not_hate,0
3rd circuit reinstates lawsuit against pittsburgh censorship zones via #prolife,not_hate,0
they won't stop until they have turned the country into a third world hellhole.,implicit_hate,1
i'm so sick of candlelight vigils for the victims of #diversity . i want more for my people . they deserve more than a melting candle to remember them by . they deserve justice . the middle classes will be provoked  and their rage will not subside .,implicit_hate,1
what the fuhrer said about jew communists came to pass. they are the parasites of the earth.,implicit_hate,1
it is not just the alt-right . most of the left and mainstream right is also sick and tired of endless wars :,not_hate,0
"  "" these people "" "" ? you mean the scores of "" "" white people "" "" who are in favor """,not_hate,0
then what do you want ? i want to be able to live on the south side ... but black crime dissuades that . #chicago,implicit_hate,1
the demokkkrats are still the party of the klan . look at their racist remarks and all white candidates for the presidency,implicit_hate,1
trump rt'd a white nationalist.meanwhile  obama has black nationalists over for white house dinners .,not_hate,0
